Open,High,Low,Close,Volume,Dividends,Stock Splits
25182.80078125,25239.849609375,25153.5,25199.25,0,0.0,0.0
25199.349609375,25229.400390625,25175.69921875,25191.400390625,0,0.0,0.0
25191.099609375,25203.400390625,25161.900390625,25189.650390625,0,0.0,0.0
25187.150390625,25212.25,25168.849609375,25210.0,0,0.0,0.0
25209.05078125,25222.400390625,25176.650390625,25207.5,0,0.0,0.0
25210.75,25266.94921875,25195.55078125,25220.44921875,0,0.0,0.0
25221.099609375,25246.25,25220.150390625,25237.150390625,0,0.0,0.0
25260.0,25310.099609375,25176.849609375,25196.69921875,0,0.0,0.0
25196.650390625,25240.25,25159.55078125,25174.0,0,0.0,0.0
25173.650390625,25173.94921875,25101.94921875,25118.349609375,0,0.0,0.0
25118.44921875,25128.5,25061.25,25084.05078125,0,0.0,0.0
25084.55078125,25137.94921875,25079.55078125,25122.75,0,0.0,0.0
25123.0,25197.44921875,25099.19921875,25144.80078125,0,0.0,0.0
25145.25,25161.400390625,25112.69921875,25123.349609375,0,0.0,0.0
25181.55078125,25267.30078125,25163.19921875,25251.25,0,0.0,0.0
25250.55078125,25326.0,25250.05078125,25292.599609375,0,0.0,0.0
25292.25,25322.900390625,25288.25,25288.25,0,0.0,0.0
25289.30078125,25336.099609375,25282.69921875,25325.5,0,0.0,0.0
25326.900390625,25364.349609375,25311.900390625,25326.900390625,0,0.0,0.0
25328.25,25337.94921875,25287.099609375,25327.94921875,0,0.0,0.0
25328.19921875,25336.650390625,25323.849609375,25327.75,0,0.0,0.0
25401.0,25452.75,25382.849609375,25423.44921875,0,0.0,0.0
25423.650390625,25472.599609375,25417.55078125,25462.25,0,0.0,0.0
25461.75,25478.05078125,25441.599609375,25477.0,0,0.0,0.0
25476.900390625,25525.599609375,25474.75,25524.0,0,0.0,0.0
25523.80078125,25576.400390625,25504.099609375,25551.849609375,0,0.0,0.0
25552.650390625,25624.80078125,25552.599609375,25568.55078125,0,0.0,0.0
25567.80078125,25582.900390625,25565.900390625,25566.30078125,0,0.0,0.0
25541.30078125,25677.0,25508.94921875,25670.150390625,0,0.0,0.0
25670.150390625,25757.94921875,25665.099609375,25750.650390625,0,0.0,0.0
25751.05078125,25776.69921875,25710.400390625,25760.599609375,0,0.0,0.0
25763.94921875,25780.94921875,25652.80078125,25668.75,0,0.0,0.0
25670.25,25709.099609375,25620.44921875,25682.099609375,0,0.0,0.0
25683.94921875,25751.69921875,25658.25,25708.349609375,0,0.0,0.0
25708.30078125,25717.349609375,25696.0,25704.69921875,0,0.0,0.0
25816.349609375,25924.650390625,25788.55078125,25856.55078125,0,0.0,0.0
25859.19921875,25892.94921875,25816.349609375,25873.80078125,0,0.0,0.0
25874.900390625,25878.25,25822.349609375,25855.25,0,0.0,0.0
25854.55078125,25910.25,25833.849609375,25898.400390625,0,0.0,0.0
25897.900390625,25901.5,25837.650390625,25861.05078125,0,0.0,0.0
25860.5,25884.150390625,25796.75,25846.30078125,0,0.0,0.0
25845.150390625,25861.599609375,25839.55078125,25850.69921875,0,0.0,0.0
25901.19921875,25932.5,25873.80078125,25896.900390625,0,0.0,0.0
25897.0,25908.099609375,25826.25,25868.599609375,0,0.0,0.0
26058.5,26096.69921875,25991.849609375,26095.900390625,0,0.0,0.0
26095.900390625,26099.599609375,26044.0,26058.0,0,0.0,0.0
26057.05078125,26087.05078125,26041.900390625,26077.099609375,0,0.0,0.0
26076.650390625,26103.80078125,26038.44921875,26059.599609375,0,0.0,0.0
26059.05078125,26079.30078125,25946.69921875,25958.55078125,0,0.0,0.0
25958.19921875,25996.849609375,25863.5,25865.349609375,0,0.0,0.0
25864.5,25900.30078125,25862.599609375,25870.30078125,0,0.0,0.0
25939.30078125,25939.30078125,25840.400390625,25876.19921875,0,0.0,0.0
25875.75,25875.75,25796.5,25827.30078125,0,0.0,0.0
25826.30078125,25857.849609375,25783.75,25850.44921875,0,0.0,0.0
25850.25,25874.69921875,25806.0,25825.94921875,0,0.0,0.0
25826.400390625,25831.099609375,25718.650390625,25755.400390625,0,0.0,0.0
25755.400390625,25807.75,25737.94921875,25799.5,0,0.0,0.0
25798.94921875,25809.25,25790.150390625,25797.44921875,0,0.0,0.0
25851.94921875,25974.849609375,25828.099609375,25961.849609375,0,0.0,0.0
25962.75,25981.30078125,25946.75,25976.30078125,0,0.0,0.0
25975.650390625,26004.900390625,25946.25,25996.25,0,0.0,0.0
25996.849609375,26001.099609375,25956.30078125,25970.599609375,0,0.0,0.0
25970.650390625,25971.0,25918.400390625,25938.5,0,0.0,0.0
25939.30078125,25984.900390625,25926.75,25963.80078125,0,0.0,0.0
25963.75,25981.0,25958.05078125,25974.0,0,0.0,0.0
25937.099609375,26040.900390625,25886.55078125,25905.25,0,0.0,0.0
25905.099609375,25912.5,25840.19921875,25852.30078125,0,0.0,0.0
25852.25,25899.400390625,25826.400390625,25843.650390625,0,0.0,0.0
25843.94921875,25949.05078125,25829.650390625,25926.349609375,0,0.0,0.0
25926.05078125,25956.0,25841.55078125,25873.69921875,0,0.0,0.0
25872.650390625,25948.75,25810.5,25943.0,0,0.0,0.0
25941.849609375,25968.150390625,25940.55078125,25965.400390625,0,0.0,0.0
25979.900390625,26024.80078125,25960.55078125,25997.69921875,0,0.0,0.0
25998.19921875,26064.0,25987.650390625,26022.44921875,0,0.0,0.0
26022.30078125,26063.650390625,26007.900390625,26054.75,0,0.0,0.0
26055.19921875,26084.30078125,26048.94921875,26080.25,0,0.0,0.0
26080.0,26097.849609375,26038.900390625,26052.849609375,0,0.0,0.0
